ProblemSet,RavensProblem,Answer,Correct,Truth,Confidence,LatencySeconds,InputTokens,OutputTokens,ReasoningTokens,Rule,Error
Basic Problems C,Basic Problem C-10,7,1,7,0.92,55.05,4374,3572,3456,"Across each row the middle cell is two horizontal copies of the left cell overlapped and the right cell is two horizontal copies separated; down each column the middle is two vertical copies overlapped and the bottom is two vertical copies separated, so the missing cell is four separate diamonds in a 2×2 grid.",
Basic Problems C,Basic Problem C-11,4,1,4,0.93,92.48,4374,4356,4224,"Down the rows, the vertical stack on the right decreases from 3 to 2 to 1. Across the columns, the bottom row fills from none, to left, to left+middle (with the bottom-right shared). The missing cell should thus be three diamonds along the bottom row.",
Basic Problems C,Basic Problem C-12,8,1,8,0.86,183.96,4374,8769,8704,"Across columns, the top row fills with black from right to left; down rows, the left column fills with black from bottom to top. Each cell is the union of these two patterns.",
Basic Problems D,Basic Problem D-01,3,1,3,0.98,23.44,4374,1418,1280,"Each row repeats a single shape across the columns (row1: filled star, row2: outlined heart, row3: outlined octagon), and each column shows star → heart → octagon. Therefore the missing cell is an outlined octagon like G and H.",
Basic Problems D,Basic Problem D-02,1,1,1,0.86,21.07,4374,1560,1472,"Latin-square cycle of three shapes (circle, diamond, triangle) so each row and column has each shape once; third row must be diamond, triangle, circle.",
Basic Problems D,Basic Problem D-03,3,1,3,0.93,41.48,4374,2413,2304,"Across rows and down columns, the panels cycle through sets with 1 shape (circle), then 2 shapes (triangle+circle), then 3 shapes (triangle+circle+square) in a rotating order; therefore the last cell should be the 1‑shape panel (circle only).",
Basic Problems D,Basic Problem D-04,1,1,1,0.98,27.84,4374,1440,1344,"Across each row, the outer frame cycles Circle → Diamond → Square while the inner symbol stays the same; columns hold the same outer frame per column and the inner symbol changes Plus → Star → Heart.",
Basic Problems D,Basic Problem D-05,7,1,7,0.97,29.01,4374,2110,1984,"Each row uses a core polygon that changes from square → diamond → octagon; across the columns, that polygon appears (1) inside a circle outline, (2) as a black polygon with a white circular hole, and (3) as a solid polygon with two dots above and below.",
Basic Problems D,Basic Problem D-06,1,1,1,0.95,25.89,4374,1391,1280,"The number of nested frames decreases by one from top to bottom (3→2→1), and the inner shapes follow a Latin square cycle across rows and columns (circle, plus, triangle). Thus the missing cell should have one frame with a circle.",
Basic Problems D,Basic Problem D-07,1,1,1,0.93,68.32,4374,4802,4672,"Inner shapes form a Latin square (each row/column has plus, square, heart once), while the outer decoration rotates by column across rows: [dots, circle, same-as-inner] → [same-as-inner, dots, circle] → [circle, same-as-inner, dots]. Thus the last cell must be a square with surrounding dots.",
Basic Problems D,Basic Problem D-08,4,1,4,0.91,44.89,4374,2590,2496,"Two independent Latin-square cycles: shapes cycle Square→Diamond→Circle, and fill state cycles Fill→Outline→Both across rows and columns. Thus the missing cell is a filled diamond.",
Basic Problems D,Basic Problem D-09,3,1,3,0.97,30.21,4374,1771,1664,"The frame shape and interior pattern each form a Latin-square cycle: circle→octagon→square for the border, and vertical bar→horizontal bar→cross for the fill across rows and down columns; thus the missing cell is an octagon with a vertical bar.",
Basic Problems D,Basic Problem D-10,1,1,1,0.96,34.73,4374,2182,2112,Two independent Latin-square cycles: the central shape cycles Square–Diamond–Circle and the arm style cycles Small squares–Diagonal spikes–Orthogonal bars across both rows and columns; thus the missing cell is a square with diagonal spikes.,
Basic Problems D,Basic Problem D-11,3,1,3,0.96,40.31,4374,2192,2112,"Three star variants cycle in Latin-square fashion: filled star → filled star with white pentagon → outlined pentagram with black center; each row and column contains each variant once, so the missing cell must be the filled star.",
Basic Problems D,Basic Problem D-12,3,1,3,0.93,52.08,4374,3307,3200,"Orthogonal Latin squares: shapes cycle Squares→Triangles→Stars and the counts cycle 3,4,5 so each row and column contains each shape and each count exactly once. Therefore the missing cell must be 3 triangles.",
Basic Problems E,Basic Problem E-01,1,1,1,0.96,32.21,4374,1362,1280,"In each row and column, the third cell is the union of the shapes in the first two; thus the missing cell is the union of left+right and up+down triangles (all four directions).",
Basic Problems E,Basic Problem E-02,7,1,7,0.98,30.89,4374,1698,1600,"In each row and column, the third cell is the superposition (union) of the first two shapes; therefore the missing cell overlays + and square with circle and X, i.e., all four together.",
Basic Problems E,Basic Problem E-03,2,1,2,0.9,92.82,4374,5227,5120,"In both rows and columns, the third cell shows the pixel-union of the first two; thus combining C and F (or G and H) yields all eight outer positions filled (center empty).",
Basic Problems E,Basic Problem E-04,8,1,8,0.41,368.22,4374,21298,21184,"In each row, the right figure plus the middle figure reconstructs the left figure (the left is a combination of the other two). Thus the third row’s missing figure must combine with the small central square (H) to make the stepped shape (G). Only option 8 fits.",
Basic Problems E,Basic Problem E-05,5,1,5,0.96,61.73,4374,3055,2944,"In each row and column, the third cell is the set difference of the first two (shapes in the second remove overlapping parts of the first); thus G − H leaves only the outer square.",
Basic Problems E,Basic Problem E-06,8,1,8,0.95,60.77,4374,3629,3520,"In each row and column, the middle cell is the union of the outer two cells; thus ? must provide only the diamond (with the central dot) so that G ∪ ? = H and C ∪ ? = F.",
Basic Problems E,Basic Problem E-07,3,1,3,0.93,52.05,4374,2921,2816,"Each row and column shows the three pairwise combinations of three features chosen from {outer border, central circle, corner squares, cross}; therefore the missing cell must be the combination of corner squares and cross.",
Basic Problems E,Basic Problem E-08,1,1,1,0.97,38.52,4374,2629,2560,"In each row and column, the third cell is the symmetric difference (XOR) of the first two: only the lines present in exactly one of the previous cells remain.",
Basic Problems E,Basic Problem E-09,7,1,7,0.98,32.38,4374,2152,2048,"Each cell shows an outlined top shape and a filled bottom shape; in every row and column, the third cell is formed by taking the top shape from the first cell and the bottom shape from the second cell.",
Basic Problems E,Basic Problem E-10,8,1,8,0.92,54.08,4374,3018,2944,"In each row and column, the third cell is the intersection (overlap) of the first two shapes, keeping only the parts common to both.",
Basic Problems E,Basic Problem E-11,5,1,5,0.87,101.03,4374,4966,4864,"Each row and column follow pixel-wise intersection: third cell is the intersection of the first two. Thus ? = intersection of G and H (also of C and F), giving three corner squares: top-left, top-right, bottom-left.",
Basic Problems E,Basic Problem E-12,4,0,6,0.66,298.68,4374,14628,14528,"Across each row, the third cell equals the set difference of the first two: remove any triangles present in the middle cell from the left cell (orientation irrelevant). Thus ? = G − H, leaving the two outer (left and right) up triangles.",
Challenge Problems B,Challenge Problem B-01,6,1,6,0.93,61.77,2875,2838,2752,"Across the row, the triangle rotates 90° clockwise; down the column, the number of triangles triples while the arrangement stays the same. So the missing cell is three right-pointing triangles arranged like C.",
Challenge Problems B,Challenge Problem B-02,4,0,1,0.55,333.06,2875,17195,17088,"The other cells are right triangles whose legs lie on the outer edges of their squares: B uses top+right and C uses top+left, so the missing one must use bottom+right to balance rows and columns.",
Challenge Problems B,Challenge Problem B-03,3,1,3,0.73,173.54,2875,9209,9088,"The number of nested squares decreases by 2 both across rows and down columns (5→3→1), and moving left→right changes thin outlines to solid black; thus the missing cell should be one solid black square.",
Challenge Problems B,Challenge Problem B-04,1,0,4,0.66,251.12,2875,15171,15040,"Across each row, pair adjacent outer circles and fill the annulus between each pair black, leaving any unpaired innermost circle as an outline. Down the column, every other circle is removed (keeping 1st, 3rd, 5th). Applying the row rule to C (three outlines) gives one filled ring from the two outer circles plus the inner outline.",
Challenge Problems B,Challenge Problem B-05,6,1,6,0.93,36.8,2875,2209,2112,"Across the row the outer square is removed; down the column the inner diamond is removed, so the final cell has neither shape (blank).",
Challenge Problems B,Challenge Problem B-06,3,1,3,0.76,184.88,2875,6499,6400,"Across and down, the diagonal orientation alternates (/ then \), and within each row the fill toggles solid black → stripes, with the filled triangle staying on the same left/right side within a column (bottom→top). Thus D must be a striped top-left triangle with a / diagonal.",
Challenge Problems B,Challenge Problem B-07,5,0,6,0.9,175.74,2875,5798,5696,"Across each row the missing quarter rotates 90° clockwise; down each column it rotates 90° counterclockwise, and the fill remains constant across a row but switches down a column. Thus the missing cell is striped with the notch at the bottom-right (SE).",
Challenge Problems B,Challenge Problem B-08,4,1,4,0.98,25.1,2875,1223,1152,"Polygons increase sides consistently: moving right adds 1 side (triangle→square), moving down adds 2 sides (triangle→pentagon). Therefore the bottom-right must have 6 sides (hexagon).",
Challenge Problems B,Challenge Problem B-09,4,1,4,0.98,57.35,2875,1343,1280,"Across each row, the fill changes from vertical stripes to solid black while the shape stays the same; down each column, the shape changes from circle to heart while the fill stays the same.",
Challenge Problems B,Challenge Problem B-10,1,0,4,0.86,139.49,2875,7081,6976,"Across rows and down columns, all triangles rotate 90° clockwise; the group’s layout also forms a larger triangle pointing in the same direction. Thus the missing cell must have three downward-pointing triangles arranged as a downward large triangle.",
Challenge Problems B,Challenge Problem B-11,5,1,5,0.87,69.32,2875,3496,3392,"Across the row shapes are mirrored horizontally; down the column shapes are mirrored vertically. So the missing cell is the vertical mirror of B (or horizontal mirror of C), a left-pointing arrow with a bottom notch.",
Challenge Problems B,Challenge Problem B-12,1,1,1,0.86,55.78,2875,2967,2880,"Across the row, the shape rotates 90° clockwise (A→B). Down the column, the polygon gains 5 sides (triangle → octagon). Thus the missing cell is C rotated 90°, which looks the same: a regular octagon.",
Challenge Problems C,Challenge Problem C-01,7,1,7,0.88,78.29,4374,3736,3648,"Three motifs of concentric-square patterns cycle in a Latin-square order across rows and columns (row2 is row1 shifted, row3 continues), so the last cell must match the A/E motif with a solid black center.",
Challenge Problems C,Challenge Problem C-02,7,1,7,0.97,29.51,4374,2186,2112,"The number of small squares increases by 1 moving right and moving down; rows are 1-2-3, 2-3-4, 3-4-5, so the missing cell is five squares in a row.",
Challenge Problems C,Challenge Problem C-03,3,1,3,0.9,64.23,4374,4972,4864,"Cell (i,j) contains a grid of triangles with i rows and j columns; cells with i+j odd are filled and even are outlined.",
Challenge Problems C,Challenge Problem C-04,8,1,8,0.94,33.45,4374,2184,2112,"Horizontals increase left-to-right (1,2,3) while verticals increase top-to-bottom (1,2,3); thus the missing cell must have three vertical and three horizontal lines.",
Challenge Problems C,Challenge Problem C-05,4,1,4,0.95,51.57,4374,2857,2752,"Across rows and columns, the number of shapes decreases by one each step (4→3→2, 3→2→1, 2→1→0) while the shape alternates circle–square–circle. Thus the last cell has zero circles (empty).",
Challenge Problems C,Challenge Problem C-06,7,1,7,0.98,49.78,4374,3466,3328,"Shape type is fixed by column (triangles, circles, squares), fill alternates like a checkerboard, and the count/arrangement in each cell is an r×c grid equal to row×column; thus cell (3,3) is 3×3 hollow squares.",
Challenge Problems C,Challenge Problem C-07,3,1,3,0.98,33.71,4374,2623,2496,"At row r and column c, the cell contains an r×c grid of solid triangles; the triangle orientation alternates in both directions (down if r+c is even, up if odd). Thus (3,3) must be a 3x3 grid of downward triangles.",
Challenge Problems C,Challenge Problem C-08,1,1,1,0.97,58.54,4374,2337,2240,"Textures progress in sequence Black → Diagonal stripes → Dots. Each row and column shows a transition: full first texture, then a split/mixed cell, then full next texture. Thus the bottom-right cell should be entirely dotted.",
Challenge Problems C,Challenge Problem C-09,7,1,7,0.93,73.38,4374,3673,3584,"Each row uses the same shape (octagon, circle, diamond). Across columns, the small shape moves from separate to overlapping to concentric; the dot moves from between the shapes to inside the small shape to the center. Thus the missing cell is concentric diamonds with a central dot.",
Challenge Problems C,Challenge Problem C-10,3,1,3,0.97,45.79,4374,2825,2688,"Across each row, the two outlined shapes and a filled one of the same type move from separated (column 1) to overlapping (column 2) to fully concentric/nested with the filled shape at the center (column 3); rows use circles, squares, and octagons respectively.",
Challenge Problems C,Challenge Problem C-11,4,1,4,0.96,31.5,4374,2232,2112,"Each column keeps a fixed shape (triangles, circles, squares) and the cell at row r, column c shows r×c copies arranged as an r-by-c grid; thus the missing cell (row 3, column 3) is nine squares in a 3×3 grid.",
Challenge Problems C,Challenge Problem C-12,2,1,2,0.95,41.79,4374,2499,2368,"Latin-square of three shapes (triangle, circle, square) and three sizes (small, medium, large): each row and column contains each shape and each size exactly once. The missing cell must be a medium circle.",
Challenge Problems D,Challenge Problem D-01,2,1,2,0.86,115.22,4374,7119,7040,"Across rows, add the top-left quarter then the top-right quarter; down columns, add the top-left quarter then the bottom-left quarter, accumulating fills. Therefore the last cell is black except for the bottom-right quarter white.",
Challenge Problems D,Challenge Problem D-02,1,1,1,0.96,42.83,4374,2906,2816,"Across each row and down each column, the triangular bite rotates 90° clockwise; the missing cell should face right.",
Challenge Problems D,Challenge Problem D-03,1,1,1,0.86,60.47,4374,4112,4032,"Triangle orientation steps by +45° across each row (left to right) and -45° down each column; thus column 3 continues 2→1→0, so the missing triangle points up (same as A/E).",
Challenge Problems D,Challenge Problem D-04,6,1,6,0.98,79.53,4374,5552,5440,"Orientation increases by 45 degrees left-to-right and top-to-bottom; multiples of 90° use the isosceles triangle while 45° positions use the right-angled one, so the missing cell is 180° (isosceles pointing down).",
Challenge Problems D,Challenge Problem D-05,8,0,2,0.71,145.99,4374,9335,9216,"Each row shows: left and right cells are mirror images (inward vs outward openings). The middle cell is the superposition of the left and right. Down each column, the cutout position rotates from top to side to bottom. Thus in row 3, the right cell must be the outward-facing version of G with bottom cutouts.",
Challenge Problems D,Challenge Problem D-06,6,1,6,0.96,18.29,4374,1327,1216,"The inner symbol cycles star → propeller → diamond across rows and columns (Latin square), while the border style increases down the rows: dashed → single → double. Therefore the missing cell should have a double border with a propeller inside.",
Challenge Problems D,Challenge Problem D-07,4,1,4,0.87,29.41,4374,2405,2304,"Shapes cycle star→heart→octagon in each row/column, and fillings cycle outline→hatched→solid; thus the missing cell must be a hatched star.",
Challenge Problems D,Challenge Problem D-08,2,0,1,0.93,50.29,4374,4738,4608,"Across rows and down columns, the number of triangles cycles 3-2-1, exactly one cell per row/column has right-pointing triangles, and exactly one cell per row/column is filled; thus the missing cell must be two right-pointing outline triangles arranged horizontally.",
Challenge Problems D,Challenge Problem D-09,7,1,7,0.93,39.07,4374,2543,2432,"Both attributes form Latin squares: in every row and column, the bar type cycles through vertical-only, horizontal-only, and both, and the background pattern cycles through white, hatch, and checkered. Thus the missing cell must be the cross (both bars) on a white background.",
Challenge Problems D,Challenge Problem D-10,5,1,5,0.83,59.68,4374,3991,3840,"In each row, the third cell shows three outline triangles oriented the same way as the large filled triangle in the first cell, arranged with two on the side opposite the pointing direction. Row 3’s first cell points down, so the last cell should be three downward-pointing triangles with two at the top and one at the bottom.",
Challenge Problems D,Challenge Problem D-11,2,0,5,0.78,140.03,4374,9500,9408,"In both rows and columns, the figures cycle through 2, 3, then 4 line segments (a Latin-square shift). Also, the only figure with a curved side moves along the main diagonal A → E → ?, so the missing cell must be the 3‑segment figure with a curved left side.",
Challenge Problems D,Challenge Problem D-12,6,1,6,0.86,124.31,4374,8007,7872,"Rows use different line styles (row1: horizontal/vertical, row2: diagonal, row3: curved) while across columns the category cycles closed shape → parallel lines → crossings, and the counts rotate 2–3–4; therefore the bottom-right must be two curved parallel lines.",
Challenge Problems E,Challenge Problem E-01,6,1,6,0.71,272.62,4374,19485,19392,"Column-wise boolean operations: bottom cell is A∪D, B∩E, and C⊕F respectively; thus C XOR F gives a horizontal bar.",
Challenge Problems E,Challenge Problem E-02,7,1,7,0.78,115.41,4374,8538,8448,"In each row, the third cell is the union of the black triangles from the first two cells; thus ? = union(G, H), which yields all nine triangles filled.",
Challenge Problems E,Challenge Problem E-03,5,1,5,0.98,45.57,4374,2595,2496,"In each row and column, the third cell shows the intersection of shapes present in the first two cells (fixed positions). Thus G ∩ H = triangle only.",
Challenge Problems E,Challenge Problem E-04,5,1,5,0.81,124.54,4374,8956,8832,"In every row and in every column, the left/top cell is the pixel-wise union of the other two: horizontal and vertical striped regions combine, producing a grid where they overlap. Thus G = H ∪ ?, and C = F ∪ ?, so ? must be just the vertical striped strip.",
Challenge Problems E,Challenge Problem E-05,6,1,6,0.97,25.79,4374,1997,1920,"In both rows and columns, the polygon’s number of sides increases by 2 (4→6→8, 6→8→10, 8→10→12). Thus the missing cell is a 12‑gon.",
Challenge Problems E,Challenge Problem E-06,7,1,7,0.9,111.8,4374,7307,7232,"Count total polygon sides in each cell; in every row and column the last cell equals the sum of the first two (e.g., 3+4=7; 6+3=9; thus 7+9=16).",
Challenge Problems E,Challenge Problem E-07,5,1,5,0.82,55.08,4374,4273,4160,"Across each row and down each column, the number of star points increases by 2 (4→6→8 in row 1, 6→8→10 in row 2, so 8→10→12 in row 3).",
Challenge Problems E,Challenge Problem E-08,5,0,7,0.71,250.15,4374,14814,14720,"Column 3 is constant: each row ends with the same 4‑point star, so the bottom-right must also be that 4‑point star (matching rows and columns).",
Challenge Problems E,Challenge Problem E-09,2,0,1,0.62,233.31,4374,12164,12032,"In each column, exactly two of the three cells are identical; the matching pair shifts by column: column 1 matches rows 2–3 (D=G), column 2 matches rows 1–2 (B=E), so column 3 must match rows 1–3, making the missing cell identical to C (V-notch pointing up).",
Challenge Problems E,Challenge Problem E-10,2,0,1,0.68,1060.6,4374,24742,24576,"Row determines the state of the center triangle (Row1: down, down, none; Row2: down, none, up; Row3: none, down, down) while column determines the side triangles (Col1: two up; Col2: sides go down→up→none down the column; Col3: same down→up→none pattern). Thus the bottom-right cell has no side triangles and a single central down triangle.",
Challenge Problems E,Challenge Problem E-11,3,1,3,0.87,103.83,4374,5956,5824,"Across the matrix the figures build up one at a time in a fixed order, alternating circle and X. Cells A–H contain the first 1–8 shapes; the last cell should add the 9th shape, a circle, filling the only remaining empty position (bottom-right).",
Challenge Problems E,Challenge Problem E-12,5,1,5,0.86,17.05,4374,1418,1344,The number of birds increases by one moving right across each row and moving down each column.,
