ProblemSet,RavensProblem,Answer,Correct,Truth,Confidence,LatencySeconds,InputTokens,OutputTokens,ReasoningTokens,Rule,Error
Basic Problems E,Basic Problem E-02,7,1,7,0.99,3.89,2625,170,121,Each third cell overlays the figures in the first two cells; the bottom row and right column therefore combine all four basic figures.,
Basic Problems E,Basic Problem E-03,1,0,2,0.93,52.32,2625,3212,3166,"The third figure in each row/column is the superposition of the first two, with overlapping diamonds merged.",
Basic Problems E,Basic Problem E-04,8,1,8,0.93,34.0,2625,1863,1822,The figures combine by superimposing the two simpler shapes in each row and column.,
Basic Problems E,Basic Problem E-05,5,1,5,0.99,3.55,2625,182,123,"In each row, the third figure is formed by removing the elements common to the first two, leaving their non-common components; thus the last cell contains only the outer square.",
Basic Problems E,Basic Problem E-06,8,1,8,0.99,3.32,2625,129,82,"Each row and column combines two independent features in the middle cell, with the missing cell requiring only the diamond feature.",
Basic Problems E,Basic Problem E-07,3,1,3,0.99,7.65,2625,289,245,Each third cell is the XOR of the first two: shared elements cancel and nonshared elements remain.,
Basic Problems E,Basic Problem E-08,1,1,1,0.99,5.28,2625,233,187,Each third figure is the exclusive-or combination of the first two: shared lines cancel and nonshared lines remain.,
Basic Problems E,Basic Problem E-09,7,1,7,0.99,6.24,2625,244,194,"In each row and column, the third panel combines the top shape from the first panel with the bottom shape from the second panel.",
Basic Problems E,Basic Problem E-10,8,1,8,0.99,5.92,2625,139,84,The third figure in each row is the overlap/common part of the directional extensions in the first two figures; thus the bottom row leaves only the central square.,
Basic Problems E,Basic Problem E-11,5,1,5,0.7,167.24,2625,10283,10233,The third figure retains the black regions shared by the first two figures (with the central overlap shifted inward in the middle row).,
Basic Problems E,Basic Problem E-12,6,1,6,0.99,8.36,2625,301,240,"Treat upward triangles as +1 and downward triangles as -1; in each row and column the third/bottom cell is the algebraic sum of the first two, cancelling opposite orientations.",
Challenge Problems B,Challenge Problem B-01,6,1,6,0.99,3.67,2288,135,84,"Across the row, triangles rotate 90° clockwise; down the column, one large triangle becomes three smaller triangles in the same orientation.",
Challenge Problems B,Challenge Problem B-02,3,0,1,0.98,18.71,2288,974,948,3,
Challenge Problems B,Challenge Problem B-03,1,0,3,1,5.57,2288,262,238,1,
Challenge Problems B,Challenge Problem B-04,4,1,4,0.82,11.54,2288,558,516,The outer alternating concentric regions are filled black while the innermost circle remains white.,
Challenge Problems B,Challenge Problem B-05,6,1,6,0.99,4.15,2288,58,32,,
Challenge Problems B,Challenge Problem B-06,3,1,3,0.98,4.26,2288,162,126,Reflect vertically and change the black triangle to a striped triangle.,
Challenge Problems B,Challenge Problem B-07,6,1,6,0.99,5.12,2288,210,157,"The shape is reflected horizontally from A to B and vertically from A to C, so the missing cell is C reflected horizontally, with stripes retained.",
Challenge Problems B,Challenge Problem B-08,4,1,4,0.99,4.21,2288,88,35,"The number of sides increases by one from left to right and from top to bottom: 3, 4, 5, 6.",
Challenge Problems B,Challenge Problem B-09,4,1,4,0.99,2.26,2288,56,0,"Across each row, the shape changes from circle to heart while the fill changes from vertical stripes to solid black; applying this to the second row gives a solid black heart.",
Challenge Problems B,Challenge Problem B-10,4,1,4,0.98,5.94,2288,284,230,Rotate each triangle and the three-triangle arrangement 90° clockwise across each row; down the first column only the triangles rotate 90° clockwise.,
Challenge Problems B,Challenge Problem B-11,5,1,5,0.99,10.72,2288,137,99,The shape is reflected horizontally across each row and vertically down each column.,
Challenge Problems B,Challenge Problem B-12,1,1,1,0.98,4.33,2288,166,121,Rotate each shape 90 degrees clockwise across the row; the octagon remains visually unchanged under this rotation.,
Challenge Problems C,Challenge Problem C-01,7,1,7,0.99,5.68,2625,269,199,"The three figure types cycle one position across each row and down each column: A-type (nested outlines with black center), B-type (black frames with outlined center), and C-type (outlined outer frame with black inner frames).",
Challenge Problems C,Challenge Problem C-02,7,1,7,0.99,2.61,2625,90,38,"The number of horizontal squares increases by one from left to right and from top to bottom, so the missing cell must contain five horizontal squares.",
Challenge Problems C,Challenge Problem C-03,3,1,3,0.99,3.28,2625,112,57,"Counts increase from 1 to 3 across columns and from 1 to 3 down rows, while triangle fill alternates outline-filled-outline by column.",
Challenge Problems C,Challenge Problem C-04,8,1,8,0.99,4.17,2625,173,122,"Each row adds one vertical line and each column adds one horizontal line, so the missing cell must contain three vertical and three horizontal lines.",
Challenge Problems C,Challenge Problem C-05,4,1,4,0.99,11.09,2625,224,198,4,
Challenge Problems C,Challenge Problem C-06,7,1,7,0.99,3.71,2625,143,84,"Rows determine the number of vertical items (1, 2, 3), columns determine the number of horizontal items and shape type, with fill alternating by row and column.",
Challenge Problems C,Challenge Problem C-07,3,1,3,0.99,4.09,2625,169,114,"The number of triangles equals the row number times the column number, with orientation alternating in a checkerboard pattern; thus the final cell has nine downward triangles.",
Challenge Problems C,Challenge Problem C-08,1,1,1,0.99,6.76,2625,209,154,"Across columns black changes to diagonal hatching, while down rows black changes to opposite diagonal hatching; where both hatchings overlap, a checker pattern results.",
Challenge Problems C,Challenge Problem C-09,7,1,7,0.99,3.03,2625,114,62,"Across each row, identical large and small shapes progress from separate, to overlapping, to concentrically nested with the dot inside the small shape.",
Challenge Problems C,Challenge Problem C-10,3,1,3,0.99,3.12,2625,100,46,"Each row uses a different shape type and progresses from separate shapes with a dot, to overlapping shapes with the dot, to nested shapes with the dot.",
Challenge Problems C,Challenge Problem C-11,4,1,4,1,5.58,2625,134,80,"Each row increases the number of shapes from 1 to 3, while columns use triangles, circles, then squares; thus the missing cell has nine squares.",
Challenge Problems C,Challenge Problem C-12,2,1,2,0.99,3.49,2625,136,79,"Each row and column cycles through triangle, circle, and square, while the sizes cycle medium, small, and large; thus the missing figure is a medium circle.",
Challenge Problems D,Challenge Problem D-01,2,1,2,0.98,11.07,2625,579,516,"Black quadrants accumulate from the upper-left: moving right adds the upper-right quadrant, while moving down adds the lower-left quadrant, so the final cell has all but the lower-right quadrant black.",
Challenge Problems D,Challenge Problem D-02,1,1,1,0.99,3.57,2625,125,66,"The wedge orientation shifts one step counterclockwise across each row and down each column: right, bottom, left / bottom, left, top / left, top, right.",
Challenge Problems D,Challenge Problem D-03,1,1,1,0.98,22.81,2625,1116,1072,"Each descending-right diagonal contains identical triangles, so the main diagonal must repeat the upward-pointing triangle.",
Challenge Problems D,Challenge Problem D-04,6,1,6,0.99,9.78,2625,408,359,Each step right or down advances the triangle through the same sequence of orientations; the missing figure is the downward-pointing triangle.,
Challenge Problems D,Challenge Problem D-05,2,1,2,0.96,17.68,2625,892,836,"Each middle cell overlays the two paired forms from the left cell, while the right cell reverses the pair’s inward-facing cutouts to outward-facing cutouts.",
Challenge Problems D,Challenge Problem D-06,6,1,6,1,3.15,2625,68,44,,
Challenge Problems D,Challenge Problem D-07,4,1,4,0.99,2.66,2625,100,55,"Each row and column contains each shape once and each fill style once: outline, hatched, solid.",
Challenge Problems D,Challenge Problem D-08,6,0,1,0.99,4.23,2625,231,182,"Each row and column contains one, two, and three triangles; the missing cell must have two filled right-pointing triangles.",
Challenge Problems D,Challenge Problem D-09,7,1,7,0.99,4.52,2625,192,126,"Both the background fill (checkered, blank, striped) and the black-bar arrangement (cross, vertical, horizontal) cycle through each row and column, so the missing cell must be blank with a cross.",
Challenge Problems D,Challenge Problem D-10,5,1,5,0.99,9.64,2625,483,420,"The triangle direction in each row is preserved from the filled triangle into the three outlined triangles, while the middle column stays upward; thus the last cell must contain three downward-pointing triangles arranged downward.",
Challenge Problems D,Challenge Problem D-11,5,1,5,0.99,22.29,2625,1229,1160,"Each row and column cycles through left-side types (curved, slanted, vertical) and through 2, 3, and 4 line segments; the missing figure must have a curved side and 3 segments.",
Challenge Problems D,Challenge Problem D-12,6,1,6,0.98,6.85,2625,357,293,"The number of symbols cycles across rows and columns: 2-3-4, 4-2-3, 3-4-2; the missing cell must contain two curved symbols.",
Challenge Problems E,Challenge Problem E-01,6,1,6,0.99,17.66,2625,969,920,"Each third figure is the exclusive-or combination of the first two: overlapping square units cancel, while non-overlapping units remain.",
Challenge Problems E,Challenge Problem E-02,7,1,7,0.99,4.64,2625,210,161,"In each row and column, the third panel is the union (overlay) of the filled triangles in the first two panels.",
Challenge Problems E,Challenge Problem E-03,8,0,5,0.99,4.16,2625,205,159,"Each third cell is the intersection of the shapes in the first two cells, both across rows and down columns.",
Challenge Problems E,Challenge Problem E-04,5,1,5,0.99,6.41,2625,297,246,Each large figure is the combination of the two simpler component figures in its row and column; the missing component must be vertical stripes only.,
Challenge Problems E,Challenge Problem E-05,6,1,6,0.99,3.29,2625,139,73,"The number of sides increases by two across each row and down each column: 4, 6, 8 / 6, 8, 10 / 8, 10, 12.",
Challenge Problems E,Challenge Problem E-06,7,1,7,0.99,9.51,2625,577,516,"In each row and column, the total number of polygon sides in the third cell equals the sum of those in the first two cells; the missing cell must therefore total 16 sides.",
Challenge Problems E,Challenge Problem E-07,5,1,5,0.99,4.66,2625,223,154,"The number of star points increases by two from left to right and from top to bottom (4, 6, 8 / 6, 8, 10 / 8, 10, 12).",
Challenge Problems E,Challenge Problem E-08,3,0,7,0.9,30.58,2625,2025,1959,"The number of sides/points follows subtraction: 16−12=4, 8−4=4, and 12−4=8, so the missing figure is an 8-sided polygon.",
Challenge Problems E,Challenge Problem E-09,6,0,1,1,15.84,2625,754,730,6,
Challenge Problems E,Challenge Problem E-10,1,1,1,0.99,17.41,2625,1030,1004,,
Challenge Problems E,Challenge Problem E-11,3,1,3,0.99,4.52,2625,193,140,"Across the matrix, each successive cell adds one symbol, alternating X and circle, so the missing cell must contain five circles and four Xs.",
Challenge Problems E,Challenge Problem E-12,5,1,5,1.0,2.15,2625,77,36,The number of birds increases by one from left to right and from top to bottom.,
