ProblemSet,RavensProblem,Answer,Correct,Truth,Confidence,LatencySeconds,InputTokens,OutputTokens,ReasoningTokens,Rule,Error
Basic Problems C,Basic Problem C-12,8,1,8,0.99,12.86,2625,575,516,"Across each row, one top-row white square is removed at each step; down each column, left-column white squares are removed, so the final pattern matches H and F.",
Basic Problems D,Basic Problem D-01,3,1,3,1,1.86,2625,42,0,"Each row repeats the same shape across all three columns: stars, then hearts, then outlined octagons.",
Basic Problems D,Basic Problem D-02,1,1,1,0.99,3.35,2625,40,0,"Each row and column contains one filled circle, one filled diamond, and one filled triangle.",
Basic Problems D,Basic Problem D-03,3,1,3,0.99,4.55,2625,234,184,"The cells cycle through one, two, and three shapes in each row and column, so the missing cell contains only the circle.",
Basic Problems D,Basic Problem D-04,1,1,1,1,7.88,2625,50,0,"Each row keeps the same inner symbol (plus, star, heart), while each column keeps the same outer shape (circle, diamond, square).",
Basic Problems D,Basic Problem D-05,7,1,7,0.99,3.23,2625,57,0,"Each row keeps the same central polygon (square, diamond, then octagon), while the columns replace the surrounding circle with a white circular cutout and then two black dots.",
Basic Problems D,Basic Problem D-06,1,1,1,0.99,3.41,2625,60,0,"Each row and column cycles through circle, plus, and triangle once, while the number of nested squares decreases from three in the top row to two in the middle and one in the bottom.",
Basic Problems D,Basic Problem D-07,1,1,1,0.99,5.02,2625,229,179,"Both the inner shapes and outer treatments follow shifted Latin-square cycles, so the missing cell is a black square surrounded by four dots.",
Basic Problems D,Basic Problem D-08,4,1,4,0.99,5.51,2625,194,150,"Both shape and fill state cycle as Latin squares, so the missing cell is a solid black diamond.",
Basic Problems D,Basic Problem D-09,3,1,3,0.99,4.76,2625,236,186,"Both the outer shapes and bar patterns cycle through three states in each row and column, requiring an octagon with a vertical bar.",
Basic Problems D,Basic Problem D-10,1,1,1,0.99,4.46,2625,226,176,"Both the central shapes and appendage types cycle as Latin squares, so the missing cell is a square with four connected diagonal lines.",
Basic Problems D,Basic Problem D-11,3,1,3,1.0,4.78,2625,185,140,"The three star patterns cycle once per row and column: solid, white-centered, then black-centered outline.",
Basic Problems D,Basic Problem D-12,3,1,3,0.99,5.16,2625,197,139,"Shapes cycle square → triangle → star across rows and columns, while counts cycle through 3, 4, and 5, so the missing cell has three triangles.",
Basic Problems E,Basic Problem E-01,1,1,1,0.99,5.01,2625,160,119,The third cell in each row and column is the union of the first two cells.,
Basic Problems E,Basic Problem E-02,7,1,7,0.99,4.95,2625,189,136,"Each third cell is the overlay (union) of the first two, so the missing cell combines the plus, square, circle, and X.",
Basic Problems E,Basic Problem E-03,2,1,2,0.99,7.2,2625,288,242,"In each row and column, the third panel is the union of the diamond positions in the first two panels.",
Basic Problems E,Basic Problem E-04,8,1,8,0.99,25.58,2625,1417,1352,"In each row and column, the larger figure is formed by joining the block shapes of the other two cells; the missing L-triomino combines with H to form G and with F to form C.",
Basic Problems E,Basic Problem E-05,5,1,5,0.99,5.18,2625,221,171,"In each row and column, the third cell is the XOR of the first two: shared elements cancel and unshared elements remain.",
Basic Problems E,Basic Problem E-06,8,1,8,0.99,8.83,2625,328,267,"In each row and column, the third cell is the XOR of the first two: shared elements cancel and unique elements remain, so the missing cell contains only the diamond and central dot.",
Basic Problems E,Basic Problem E-07,3,1,3,0.99,5.26,2625,258,219,Each row and column contains all three pairwise combinations of three component types.,
Basic Problems E,Basic Problem E-08,1,1,1,0.99,5.93,2625,296,246,"In each row and column, the third cell is the XOR of the first two: shared lines cancel and unshared lines remain.",
Basic Problems E,Basic Problem E-09,7,1,7,0.99,4.64,2625,253,203,"In each row, the third cell combines the top outline shape from the first cell with the bottom filled shape from the second cell.",
Basic Problems E,Basic Problem E-10,8,1,8,0.99,11.53,2625,207,159,"In each row and column, the third cell is the intersection of the first two shapes, leaving only their shared parts.",
Basic Problems E,Basic Problem E-11,5,1,5,0.99,21.11,2625,1080,1034,The missing cell is the intersection of the black regions in C and F (also in G and H).,
Basic Problems E,Basic Problem E-12,6,1,6,0.99,9.4,2625,484,431,Treat upward triangles as +1 and downward triangles as −1; the third cell in each row and column is the sum of the first two.,
Challenge Problems B,Challenge Problem B-01,6,1,6,0.99,6.92,2288,370,319,"Across, the entire figure rotates 90° clockwise; downward, the single triangle becomes three smaller copies arranged in the same overall orientation.",
Challenge Problems B,Challenge Problem B-02,1,1,1,0.98,15.43,2288,800,743,"Move right by rotating the triangle 45° clockwise, and move down by rotating it 45° counterclockwise, so the rotations cancel in the missing cell.",
Challenge Problems B,Challenge Problem B-03,3,1,3,0.98,35.81,2288,1860,1813,Each move right or down removes two nested squares; the right column uses filled black forms while the left uses outlines.,
Challenge Problems B,Challenge Problem B-04,4,1,4,0.92,38.25,2288,2057,2007,"Across, alternate concentric disks are filled black; down, every other circle is removed, merging the two remaining adjacent black regions.",
Challenge Problems B,Challenge Problem B-05,6,1,6,0.99,2.94,2288,45,0,"Cell A is the union of B’s diamond and C’s square, so the missing cell must contain neither shape.",
Challenge Problems B,Challenge Problem B-06,4,0,3,0.99,7.62,2288,299,242,Move right by rotating the shaded triangle 90° clockwise and changing black to striped; move down by rotating it 90° counterclockwise while preserving the fill.,
Challenge Problems B,Challenge Problem B-07,6,1,6,0.99,5.31,2288,185,139,"Across each row the missing quadrant reflects horizontally; moving down, it reflects vertically and changes from solid to striped.",
Challenge Problems B,Challenge Problem B-08,4,1,4,0.99,3.87,2288,100,57,The number of sides increases by 1 across each row and by 2 down each column.,
Challenge Problems B,Challenge Problem B-09,4,1,4,0.99,3.5,2288,56,0,"Across each row, the shape stays the same while its vertical striped fill changes to solid black; down each column, the circle changes into a heart while preserving the fill.",
Challenge Problems B,Challenge Problem B-10,4,1,4,0.99,9.89,2288,545,498,"Across, the whole arrangement rotates 90° clockwise; down, each triangle rotates 90° clockwise in place.",
Challenge Problems B,Challenge Problem B-11,5,1,5,0.99,4.95,2288,211,158,"B is A reflected horizontally, C is A reflected vertically, so the missing cell is A reflected both ways (rotated 180°).",
Challenge Problems B,Challenge Problem B-12,1,1,1,0.98,14.32,2288,340,293,"Across each row, the shape rotates 90° clockwise; the octagon appears unchanged because of its rotational symmetry.",
Challenge Problems C,Challenge Problem C-01,7,1,7,0.99,4.43,2625,200,151,"The three figure types cycle in a Latin-square pattern across every row and column, so the missing cell matches A and E.",
Challenge Problems C,Challenge Problem C-02,7,1,7,1,2.68,2625,48,0,"The number of horizontally aligned squares increases by one from left to right and from top to bottom, so the missing cell contains five horizontal squares.",
Challenge Problems C,Challenge Problem C-03,3,1,3,0.99,6.02,2625,160,114,"Each cell contains row number × column number triangles, with outline and filled styles alternating in a checkerboard pattern.",
Challenge Problems C,Challenge Problem C-04,8,1,8,1,3.97,2625,202,149,"Each row increases the number of vertical lines from 1 to 3, while each column increases the number of horizontal lines from 1 to 3.",
Challenge Problems C,Challenge Problem C-05,4,1,4,0.99,7.15,2625,226,179,"The number of shapes decreases by one across each row and down each column, so the final cell contains zero shapes.",
Challenge Problems C,Challenge Problem C-06,7,1,7,0.99,4.15,2625,143,85,"Counts are row-by-column products (1–3, 2–6, 3–9), with columns fixing shape and fill alternating in a checkerboard pattern.",
Challenge Problems C,Challenge Problem C-07,3,1,3,1.0,4.77,2625,173,119,"Triangle counts are the row number multiplied by the column number, with orientation alternating between downward and upward, so the missing cell has nine filled downward triangles.",
Challenge Problems C,Challenge Problem C-08,1,1,1,0.99,6.63,2625,198,130,"Across columns, ascending diagonal hatching replaces black from right to left; down rows, descending hatching replaces black from bottom to top, and overlap forms crosshatching, so the final cell is fully crosshatched.",
Challenge Problems C,Challenge Problem C-09,7,1,7,0.99,2.94,2625,53,0,"Across each row, the smaller matching shape moves from beside the larger shape, to overlapping it, to centered inside it; each row uses one shape type.",
Challenge Problems C,Challenge Problem C-10,3,1,3,0.99,6.43,2625,247,197,"Each row progresses from separated to overlapping to concentric versions of the same two shapes, with the dot centered between or within them.",
Challenge Problems C,Challenge Problem C-11,4,1,4,1.0,2.74,2625,77,0,"Columns determine the shape and number of objects per row (1 triangle, 2 circles, 3 squares), while rows determine the number of rows of objects (1, 2, then 3), so the missing cell is a 3×3 grid of squares.",
Challenge Problems C,Challenge Problem C-12,2,1,2,0.99,3.65,2625,177,121,"Each row and column contains one triangle, circle, and square, and one small, medium, and large shape; therefore the missing cell is a medium circle.",
Challenge Problems D,Challenge Problem D-01,2,1,2,0.99,8.0,2625,385,324,"Each cell is the union of its row's base shape and column's base shape, so the missing cell combines the left half and top half, leaving only the bottom-right quarter white.",
Challenge Problems D,Challenge Problem D-02,1,1,1,0.99,3.39,2625,102,55,The notch rotates 90° clockwise in position from one cell to the next across each row and down each column.,
Challenge Problems D,Challenge Problem D-03,1,1,1,0.99,10.73,2625,564,516,"Each step right rotates the triangle 45° clockwise, while each step down rotates it 45° counterclockwise.",
Challenge Problems D,Challenge Problem D-04,6,1,6,0.99,8.59,2625,332,283,"Each step right or down rotates the triangle 45° clockwise, alternating between isosceles and right-triangle forms.",
Challenge Problems D,Challenge Problem D-05,2,1,2,0.99,22.63,2625,1216,1164,"In each row, the third cell swaps the left and right component shapes from the first cell, while the middle cell superimposes them.",
Challenge Problems D,Challenge Problem D-06,6,1,6,0.99,4.82,2625,106,56,"Each row and column cycles through the three symbols, while the border style is constant by row: dashed, single, then double.",
Challenge Problems D,Challenge Problem D-07,4,1,4,0.99,3.91,2625,188,144,"Both shape and fill cycle across rows and columns, so the missing figure is a hatched star.",
Challenge Problems D,Challenge Problem D-08,2,0,1,0.99,7.79,2625,367,293,"Each row and column contains one cell with 1, 2, and 3 triangles, while the styles cycle among filled upright, outlined upright, and outlined right-pointing; the missing cell is therefore two horizontally arranged outlined right-pointing triangles.",
Challenge Problems D,Challenge Problem D-09,7,1,7,0.99,5.96,2625,206,155,"Both the background pattern and bar arrangement cycle as Latin squares, so the missing cell has a plain background with both vertical and horizontal bars.",
Challenge Problems D,Challenge Problem D-10,5,1,5,0.99,7.63,2625,315,258,"In each row, the three outlined triangles in column 3 are the column-2 pattern rotated to match the direction of the large filled triangle in column 1.",
Challenge Problems D,Challenge Problem D-11,5,1,5,0.99,16.26,2625,889,829,"Shape families cycle through the grid, while line counts cycle 2–3–4; the missing curved-family figure must have three sides: curved left, top, and diagonal.",
Challenge Problems D,Challenge Problem D-12,6,1,6,0.98,7.82,2625,323,270,"The object counts cycle 2-3-4 across rows and columns, while the figure type progresses to curved parallel lines in the missing cell.",
Challenge Problems E,Challenge Problem E-01,6,1,6,0.99,7.12,2625,367,316,"In every row and column, the third cell is the XOR of the first two: overlapping squares cancel and non-overlapping squares remain.",
Challenge Problems E,Challenge Problem E-02,7,1,7,1.0,6.52,2625,406,360,"In each row and column, the third panel is the union of the filled triangles in the first two panels.",
Challenge Problems E,Challenge Problem E-03,5,1,5,1.0,4.44,2625,205,161,"In each row and column, the third cell contains only the shapes common to the first two cells.",
Challenge Problems E,Challenge Problem E-04,5,1,5,0.99,6.14,2625,277,221,"In each row and column, the first composite figure is formed by superimposing the other two component figures; therefore the missing component is the vertical-striped rectangle.",
Challenge Problems E,Challenge Problem E-05,6,1,6,0.99,6.32,2625,296,247,"The number of sides increases by 2 across each row and down each column, so the missing shape has 12 sides.",
Challenge Problems E,Challenge Problem E-06,7,1,7,0.99,6.57,2625,384,333,"In each row and column, the total number of sides in the third cell equals the sum of the totals in the first two cells.",
Challenge Problems E,Challenge Problem E-07,5,1,5,0.99,3.46,2625,154,87,"The number of points increases by 2 across each row and down each column: 4, 6, 8; 6, 8, 10; 8, 10, 12.",
Challenge Problems E,Challenge Problem E-08,3,0,7,0.99,8.05,2625,375,324,"In each row and column, the largest shape count equals the sum of the other two, so the missing figure has 8 sides.",
Challenge Problems E,Challenge Problem E-09,1,1,1,0.99,14.17,2625,723,671,"Treat notch directions as quarter-turn values; in each row and column, the third direction is the modulo-4 sum of the first two.",
Challenge Problems E,Challenge Problem E-10,1,1,1,0.99,7.97,2625,421,367,"Treat upward triangles as +1 and downward triangles as −1; in every row and column, the third cell equals the sum of the first two.",
Challenge Problems E,Challenge Problem E-11,3,1,3,0.99,5.39,2625,217,169,"Each successive cell adds one symbol to a fixed 3×3 pattern, culminating in a circle at the bottom-right.",
Challenge Problems E,Challenge Problem E-12,5,1,5,1.0,2.9,2625,47,0,"The number of birds increases by one from left to right and from top to bottom, so the missing cell contains five birds.",
