ProblemSet,RavensProblem,Answer,Correct,Truth,AnswerNoTraining,CorrectNoTraining
Challenge Problems D,Challenge Problem D-09,4,0,7,3,0
Challenge Problems D,Challenge Problem D-10,6,0,5,6,0
Challenge Problems D,Challenge Problem D-11,7,0,5,8,0
Challenge Problems D,Challenge Problem D-12,8,0,6,4,0
Challenge Problems E,Challenge Problem E-01,6,1,6,1,0
Challenge Problems E,Challenge Problem E-02,8,0,7,7,1
Challenge Problems E,Challenge Problem E-03,5,1,5,5,1
Challenge Problems E,Challenge Problem E-04,5,1,5,7,0
Challenge Problems E,Challenge Problem E-05,6,1,6,2,0
Challenge Problems E,Challenge Problem E-06,5,0,7,6,0
Challenge Problems E,Challenge Problem E-07,5,1,5,2,0
Challenge Problems E,Challenge Problem E-08,6,0,7,5,0
Challenge Problems E,Challenge Problem E-09,5,0,1,5,0
Challenge Problems E,Challenge Problem E-10,1,1,1,5,0
Challenge Problems E,Challenge Problem E-11,3,1,3,3,1
Challenge Problems E,Challenge Problem E-12,7,0,5,2,0
